,latitude,longitude,annee
71,49.5315591,0.1831594,2013.0
72,49.533855,0.182423,2013.0
73,49.5312161,0.1838557,2013.0
74,49.5267369,0.1827224,2013.0
75,49.5260054,0.1854543,2013.0
76,49.4873766,0.4693893,2013.0
77,49.4909417,0.582094,2013.0
78,49.4786828,0.4799079,2013.0
79,49.4914294,0.5634488,2013.0
80,49.4786828,0.4799079,2013.0
81,49.4914294,0.5634488,2013.0
82,49.4850561,0.5216783,2013.0
83,49.4914294,0.5634488,2013.0
84,49.4786828,0.4799079,2013.0
85,49.4914294,0.5634488,2013.0
86,49.4818695,0.5007931,2013.0
87,49.5009595,0.5349389,2013.0
88,49.4899829,0.4051165,2013.0
89,49.4090902,0.5728624,2013.0
90,49.5156273,0.485709,2013.0
91,49.3903437,0.5194185,2013.0
92,49.4226994,0.4522422,2013.0
93,49.452316,0.4994535,2013.0
94,49.5156273,0.485709,2013.0
95,49.4797123,0.4504783,2013.0
96,49.5009595,0.5349389,2013.0
97,49.4786828,0.4799079,2013.0
98,49.4909381,0.5821061,2013.0
99,49.4918793,0.5811412,2013.0
100,49.4914294,0.5634488,2013.0
101,49.4786098,0.4799982,2013.0
102,49.5009595,0.5349389,2013.0
103,49.4758419,0.4773213,2013.0
104,49.4818574,0.4300607,2013.0
105,49.48877,0.4796368,2013.0
106,49.4363572,0.4751319,2013.0
107,49.4797123,0.4504783,2013.0
108,49.3890297,0.5132289,2013.0
109,49.4523169,0.4995035,2013.0
110,49.5156039,0.4857782,2013.0
111,49.4230145,0.4518519,2013.0
112,49.4982035,0.4797043,2013.0
113,49.4997425,0.5827054,2013.0
114,49.4909403,0.5821022,2013.0
115,49.4918776,0.5811451,2013.0
116,49.3890297,0.5132289,2013.0
117,49.4226993,0.4522461,2013.0
118,49.3905271,0.5197699,2013.0
119,49.4226991,0.4522448,2013.0
120,49.3890308,0.513173,2013.0
121,49.4230145,0.4518519,2013.0
122,49.5055294,0.589835,2013.0
123,49.479801,0.4505566,2013.0
124,49.4914255,0.5634614,2013.0
125,49.4859768,0.5387521,2013.0
126,49.5211362,0.5829631,2013.0
127,49.53043,0.5910882,2013.0
128,49.5359639,0.5953908,2013.0
129,49.5425619,0.5999902,2013.0
130,49.5526869,0.598764,2013.0
131,49.5634261,0.6001696,2013.0
132,49.5654301,0.6085481,2013.0
133,49.5704656,0.6192398,2013.0
134,49.5788517,0.6278163,2013.0
135,49.590769,0.605209,2013.0
136,49.607665,0.667532,2013.0
137,49.5964147,0.6760949,2013.0
138,49.614325,0.7127095,2013.0
139,49.611586,0.7357028,2013.0
140,49.6101783,0.7452774,2013.0
141,49.6115106,0.7473821,2013.0
142,49.6128432,0.7494868,2013.0
143,49.6117772,0.747803,2013.0
144,49.618634,0.7531289,2013.0
145,49.6179931,0.7516376,2013.0
146,49.6170017,0.751036,2013.0
147,49.6101783,0.7452774,2013.0
